,na,nb,objective,rbf_variance,rbf_lengthscale,noise_variance,train_rms,val_rms,test_rms
12,3,5,-70859.24171116948,0.6516119613825323,"[14.45284521848561, 13.435735561312246, 15.476014482035032, 14.450498257104362, 12.698357184189364, 13.18719421987082, 10.317147216866665, 8.248731096006845]",6.365509844980075e-05,0.0036198780367307174,0.003489090568783742,0.0037046448631203378
13,3,6,-70689.18324416876,0.710400748028569,"[15.855688311905917, 14.745027838755663, 16.735532222391793, 14.078727700195863, 12.33390365508563, 12.864862013543899, 13.446559601815634, 12.166283725073328, 10.621906237577356]",6.56990956170294e-05,0.0035949627441212184,0.003471596768961925,0.003730143101850157
14,3,7,-70629.35658493638,0.6730145311768371,"[17.654294982658104, 16.669863262981238, 19.238361629387096, 14.245789295800357, 13.079347887276633, 13.281304764757653, 13.74116430539983, 13.193835038348174, 12.132950786104388, 11.574528345560608]",6.791755152778715e-05,0.0035920657368550325,0.003467966849616995,0.003790081375249973
15,3,8,-70873.8649585247,0.7670881144323068,"[16.615352426102692, 16.898024159682652, 17.475106086602885, 15.292626361214293, 14.202829017908266, 13.470034430199183, 13.365050038369947, 13.608236518186867, 13.75475811653785, 13.567036134458172, 13.370192112178966]",6.081530675787987e-05,0.003555589641959551,0.003432297493265262,0.003655763672890522
16,3,9,-70807.77666041255,3.716231511907721,"[26.27196410044182, 27.663230753661306, 28.57172501633486, 26.050779972365508, 23.90212677209011, 22.029814411767507, 21.650720692573863, 23.19444518115865, 25.362779750367487, 26.524117132620407, 26.19330305002441, 24.87081884186289]",6.071354809297753e-05,0.0036063539705709965,0.0034773197342528044,0.00368510970594667
17,3,10,-67875.56864789128,0.22242362624052273,"[13.99115575737401, 14.867687727446054, 15.553592393188023, 12.212330406938632, 11.689977428233721, 11.260392818188048, 11.101972043030136, 11.385134005958436, 11.942154060264976, 12.312979861100436, 12.157920013595037, 11.401453109505939, 10.256999810122247]",7.474938873430032e-05,0.003918271162525886,0.0038522335477658154,0.00589998938512522
18,4,2,-69271.45026788116,1.6019762576503886,"[15.878269674686912, 18.91709374470114, 18.9858416740291, 15.676671050686382, 12.581843114336776, 6.997862379879034]",7.87969190332903e-05,0.004020861726005126,0.003872603153182497,0.004035215136969367
19,4,3,-66437.67378509045,0.12349400537276467,"[6.614744863797046, 6.418464322618785, 6.332001191014143, 6.854253119900415, 7.200874942623541, 6.847630888340827, 4.926502836305545]",8.209720553314776e-05,0.003975079184573413,0.003898003884600655,0.004690892677138714
20,4,4,-69174.21045258641,0.33834112853959925,"[12.413397249087133, 10.21431397034874, 10.397820592666509, 13.444955518782994, 11.561215171268357, 10.188811705620353, 8.619985297161215, 7.3301650552106485]",6.839054124461896e-05,0.0037188190171443033,0.0035970113565054226,0.0039051319505693178
21,4,5,-70779.64123028517,1.7038916392021553,"[21.18926925801597, 17.07995984866238, 16.92434724776018, 21.90580821599021, 19.566445727284577, 16.516313771757716, 17.204119583288673, 13.949119404492313, 12.335736821202]",6.753290194024598e-05,0.0036515015071527084,0.003510409088323547,0.003753761226161198
