,Dataset Split,RMSE [rad],RMSE [deg],NRMSE [%]
0,Training Set,0.0069898223451774506,0.4004873199249032,1.4931110897112296
1,Validation Set,0.007441586147187072,0.4263714791168382,1.571227635843982
2,Test Set,0.009553350488513091,0.5473666632010433,1.8477835467379122
